번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명,sum
1,영화상영관,03_13_02_P,3600000,CDFF4220002006000004,2006-12-21,,2,휴업,2,휴업,,2007-10-18,2010-06-30,,062-383-3445,,502-827,광주광역시 서구 치평동 1213-4번지,광주광역시 서구 상무중앙로 96  (치평동),,프리머스시네마4관,2010/01/11 8:09,I,2018/08/31 23:59,,186168.5302,184045.5686,영화상영관,영화상영관,14,기타,,,12,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20061221,중심상업지역,1
2,영화상영관,03_13_02_P,3600000,CDFF4220002006000005,2006-12-21,,2,휴업,2,휴업,,2007-10-18,2010-06-30,,062-383-3445,,502-827,광주광역시 서구 치평동 1213-4번지,광주광역시 서구 상무중앙로 96  (치평동),,프리머스시네마5관,2010/01/11 8:10,I,2018/08/31 23:59,,186168.5302,184045.5686,영화상영관,영화상영관,14,기타,,,12,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20061221,중심상업지역,1
3,영화상영관,03_13_02_P,3600000,CDFF4220002006000006,2006-12-21,,2,휴업,2,휴업,,2007-10-18,2010-06-30,,062-383-3445,,502-827,광주광역시 서구 치평동 1213-4번지,광주광역시 서구 상무중앙로 96  (치평동),,프리머스시네마6관,2010/01/11 8:10,I,2018/08/31 23:59,,186168.5302,184045.5686,영화상영관,영화상영관,14,기타,,,12,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20061221,중심상업지역,1
4,영화상영관,03_13_02_P,3600000,CDFF4220002006000007,2006-12-21,,2,휴업,2,휴업,,2007-10-18,2008-10-19,,062-383-3445,,502-827,광주광역시 서구 치평동 1213-4번지,광주광역시 서구 상무중앙로 96  (치평동),,프리머스시네마7관,2010/01/11 8:12,I,2018/08/31 23:59,,186168.5302,184045.5686,영화상영관,영화상영관,14,기타,,,12,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20061221,중심상업지역,1
5,영화상영관,03_13_02_P,3600000,CDFF4220002006000008,2006-12-21,,2,휴업,2,휴업,,2007-10-18,2010-06-30,,062-383-3445,,502-827,광주광역시 서구 치평동 1213-4번지,광주광역시 서구 상무중앙로 96  (치평동),,프리머스시네마8관,2010/01/11 8:12,I,2018/08/31 23:59,,186168.5302,184045.5686,영화상영관,영화상영관,14,기타,,,12,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20061221,중심상업지역,1
6,영화상영관,03_13_02_P,5220000,CDFF4220002000000001,2000-03-08,,2,휴업,2,휴업,,,2021-12-31,,,,718-923,경상북도 칠곡군 동명면 득명리 312번지,경상북도 칠곡군 동명면 한티로 824,39855,팔공산신씨네자동차극장,2020/02/14 10:10,U,2020/02/16 2:40,,344806.2122,280532.718,영화상영관,영화상영관,,기타,,,,,,,,,,,,,,,,,,,,,,,,자동차극장,,20000308,,1
7,영화상영관,03_13_02_P,4600000,CDFF4220001995000001,1995-02-13,,2,휴업,2,휴업,,,,,633-0811,,350-807,충청남도 홍성군 홍성읍 오관리 324-1번지,충청남도 홍성군 홍성읍 조양로 180-9,,동원극장,2014/12/09 10:12,I,2018/08/31 23:59,,170370.1067,344401.5825,영화상영관,영화상영관,4,,,,3,1,,,,,,,,,,,,,,,,,,,,영화관,,19950213,,1
8,영화상영관,03_13_02_P,4600000,CDFF4220002004000002,2004-01-20,,2,휴업,2,휴업,,,,,633-0822,,350-807,충청남도 홍성군 홍성읍 오관리 329-2번지,충청남도 홍성군 홍성읍 조양로 180-8,,동원시네마 제2관,2014/12/09 10:12,I,2018/08/31 23:59,,170335.4259,344409.2605,영화상영관,영화상영관,7,기타,,,6,1,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20040120,일반상업지역,1
9,영화상영관,03_13_02_P,3600000,CDFF4220002004000009,2004-12-02,,2,휴업,2,휴업,,2010-04-05,2010-10-04,,062-385-7788,,,광주광역시 서구 치평동 1218-1번지,광주광역시 서구 시청로 67  (치평동),,메가박스 상무 제9관,2010/05/12 10:46,I,2018/08/31 23:59,,186350.8164,183915.8701,영화상영관,영화상영관,,기타,,,11,4,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041202,중심상업지역,1
10,영화상영관,03_13_02_P,3600000,CDFF4220002004000010,2004-12-02,,2,휴업,2,휴업,,2010-04-05,2010-10-04,,062-385-7788,,,광주광역시 서구 치평동 1218-1번지,광주광역시 서구 시청로 67  (치평동),,메가박스 상무 제10관,2010/05/12 10:46,I,2018/08/31 23:59,,186350.8164,183915.8701,영화상영관,영화상영관,,기타,,,11,4,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041202,중심상업지역,1
