ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,LC_LO,LC_LA,FCLTY_ID,OPNNG_YEAR,ADTION_DC,FCLTY_SEAT_CO,PRFPLC_CO,TEL_NO,HMPG_ADDR,FCLTY_SEAT_CO,PBLPRFR_CAS_CO,RASNG_CUTIN_CAS_CO,VIEWNG_CAS_CO,ADVANTK_CAS_CO,PRVATE_PUBLIC_AT,UPDT_DT,ORIGIN_NM,FILE_NM,BASE_DE
KCWKPRF22N000000001,문화시설,공연장,(재)영화의전당,부산광역시,해운대구,2635010500,우동,2635052000,우2동,2.64E+11,부산광역시 해운대구 수영강변대로 120 (우동),48058,마라481874,129.1270845,35.1710365,1148171.301,1687407.679,FC000175,2011,공공(문예회관),4877,4,051-780-6000,http://www.dureraum.org/bcc/main/main.do?rbsIdx=1,4877,62,62,105,35993,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000002,문화시설,공연장,1M SPACE,서울특별시,서대문구,1141011600,창천동,1141058500,신촌동,1.14E+11,서울특별시 서대문구 연세로4길 27 (창천동),3777,다사503510,126.9381984,37.5576008,950380.2786,1951065.027,FC002651,2019,민간(대학로 외),55,1,,https://yellowclip.space/,55,9,9,41,641,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000003,문화시설,공연장,2001 아울렛키즈홀 [구로],서울특별시,구로구,1153010600,고척동,1153072000,고척1동,1.15E+11,서울특별시 구로구 중앙로1길 36 (고척동),8227,다사436445,126.8626774,37.4980726,943665.2565,1944503.222,FC001940,2008,민간(대학로 외),100,1,02-2093-5093,https://2001gurohall.modoo.at/?link=4ky4bxbz,100,14,14,210,6694,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000004,문화시설,공연장,2001 아울렛키즈홀 [수원남문],경기도,수원시,4111514100,인계동,4111573000,인계동,4.11E+11,경기도 수원시 팔달구 중부대로34번길 15 (인계동),16470,다사575196,127.0211634,37.2744385,957548.4801,1919609.846,FC001548,2005,민간(대학로 외),180,1,031-230-7029,https://www.facebook.com/2001kidshall/?ref=page_internal,180,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000005,문화시설,공연장,3.15아트센터,경상남도,창원시,4812710500,양덕동,4812757000,양덕2동,3.11E+11,경상남도 창원시 마산회원구 삼호로 135 (양덕동),51322,라라980928,128.5771062,35.2258185,1098018.883,1692802.386,FC000877,2008,공공(문예회관),1645,2,055-719-7800,http://www.cwcf.or.kr/facility/facility_315art.asp,1645,9,9,28,7296,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000006,문화시설,공연장,5.18기념문화센터,광주광역시,서구,2914011800,쌍촌동,2914075100,상무1동,2.91E+11,광주광역시 서구 내방로 152 (쌍촌동),61965,다라414849,126.8575559,35.1583054,941488.6263,1684972.642,FC000420,2001,공공(문예회관),1087,2,062-376-5197,http://518center.gwangju.go.kr/,1087,19,19,110,25081,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000007,문화시설,공연장,BNK부산은행 조은극장,부산광역시,중구,2611013700,남포동2가,2611058000,남포동,2.61E+11,부산광역시 중구 구덕로34번길 4 (남포동2가),48954,마라396792,129.032287,35.0982834,1139662.019,1679201.329,FC001246,2009,민간(대학로 외),572,3,00-1588-2757,http://www.gp-gp.co.kr/,572,8,6,717,14953,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000008,문화시설,공연장,CJ아지트 대학로 (구. SM아트홀),서울특별시,종로구,1111016800,동숭동,1111064000,이화동,1.11E+11,서울특별시 종로구 대학로12길 69 (동숭동),3086,다사562536,127.0039646,37.5810021,956202.6589,1953628.598,FC001338,2016,민간(대학로),190,1,02-726-7967,https://www.cjazit.org/cjazit,190,5,5,66,4461,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000009,문화시설,공연장,CK아트홀,울산광역시,남구,3114010500,달동,3114056000,달동,3.11E+11,울산광역시 남구 삼산로 173 (달동),44695,마마655283,129.3261065,35.5374021,1165547.621,1728360.22,FC000082,2009,민간(대학로 외),188,1,1899-2330,http://www.ckarthall.com/default/,188,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000010,문화시설,공연장,DS ART HALL(창선당),서울특별시,종로구,1111016400,종로6가,1111063000,종로5.6가동,1.11E+11,서울특별시 종로구 청계천로 279 (종로6가),3198,다사566524,127.0087438,37.5704485,956618.518,1952455.51,FC000098,2014,민간(대학로 외),137,1,,,137,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
