시군구 ,법정동명,sum
0,0,3
강남구,개포동,1
구로구,고척동,1
종로구,관철동,2
종로구,관훈동,1
광진구,광장동,1
구로구,구로동,5
광진구,구의동,1
종로구,낙원동,1
강서구,내발산동,2
은평구,녹번동,1
강남구,논현동,5
광진구,능동,4
중구,다동,1
영등포구,당산동3가,1
영등포구,당산동5가,1
강남구,대치동,4
서대문구,대현동,1
마포구,대흥동,3
금천구,독산동,1
성북구,돈암동,1
마포구,동교동,1
성북구,동선동1가,2
성북구,동소문동2가,1
성북구,동소문동5가,1
종로구,동숭동,78
용산구,동자동,1
마포구,망원동,1
중랑구,면목동,2
중구,명동1가,1
중구,명동2가,2
종로구,명륜1가,7
종로구,명륜2가,13
종로구,명륜3가,3
종로구,명륜4가,7
양천구,목동,5
서초구,반포동,1
송파구,방이동,13
강북구,번동,3
종로구,부암동,1
서대문구,북아현동,1
종로구,사직동,1
성북구,삼선동1가,1
강남구,삼성동,10
노원구,상계동,1
동작구,상도동,1
마포구,상수동,1
마포구,상암동,1
성북구,상월곡동,1
강동구,상일동,5
마포구,서교동,16
서초구,서초동,23
성북구,석관동,2
강동구,성내동,2
성북구,성북동,1
성북구,성북동1가,1
마포구,성산동,6
성동구,성수동1가,3
성동구,성수동2가,3
종로구,세종로,8
강북구,수유동,1
금천구,시흥동,1
구로구,신도림동,2
관악구,신림동,1
관악구,신사동,5
마포구,신수동,2
양천구,신정동,3
송파구,신천동,1
서대문구,신촌동,1
강동구,암사동,1
서초구,양재동,2
영등포구,여의도동,2
강남구,역삼동,5
종로구,연건동,2
종로구,연지동,4
서대문구,연희동,1
강서구,염창동,1
구로구,오류동,1
종로구,옥인동,1
종로구,와룡동,1
용산구,용산동6가,1
강북구,우이동,1
종로구,원서동,3
중구,을지로4가,1
용산구,이태원동,2
종로구,이화동,6
강남구,일원동,1
광진구,자양동,4
송파구,잠실동,1
중구,장충동2가,4
중구,저동1가,1
중구,정동,9
종로구,종로6가,1
노원구,중계동,2
도봉구,창동,5
종로구,창신동,1
마포구,창전동,1
서대문구,창천동,2
강남구,청담동,1
동대문구,청량리동,1
중구,초동,5
중구,충정로1가,1
중구,충정로3가,1
종로구,통의동,2
중구,필동2가,7
중구,필동3가,1
용산구,한강로3가,1
용산구,한남동,7
마포구,합정동,1
성동구,행당동,4
종로구,혜화동,17
서대문구,홍은동,2
광진구,화양동,1
종로구,효자동,1
종로구,효제동,1
중구,흥인동,4
